"agency_cd","site_no","datetime","X165986_00060_00001","X165986_00060_00001_cd","X165987_00060_00002","X165987_00060_00002_cd","X84936_00060_00003","X84936_00060_00003_cd","X84937_00065_00001","X84937_00065_00001_cd","X84938_00065_00002","X84938_00065_00002_cd","X84939_00065_00003","X84939_00065_00003_cd"
"USGS",2085000,"10/1/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/2/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/3/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/4/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/5/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/6/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/7/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/8/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/9/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/10/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/11/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/12/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/13/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/14/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/15/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/16/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/17/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/18/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/19/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/20/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/21/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/22/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/23/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/24/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/25/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/26/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/27/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/28/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/29/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"10/30/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
